sample_id,category,n_tokens
1,original,217
1,baseline,230
1,fragweave,290
10,original,281
10,baseline,299
10,fragweave,379
11,original,270
11,baseline,289
11,fragweave,434
12,original,163
12,baseline,175
12,fragweave,290
13,original,175
13,baseline,196
13,fragweave,266
14,original,192
14,baseline,208
14,fragweave,283
15,original,307
15,baseline,323
15,fragweave,380
16,original,158
16,baseline,171
16,fragweave,342
17,original,262
17,baseline,272
17,fragweave,361
18,original,257
18,baseline,278
18,fragweave,296
19,original,279
19,baseline,290
19,fragweave,395
2,original,267
2,baseline,285
2,fragweave,352
20,original,143
20,baseline,153
20,fragweave,204
21,original,171
21,baseline,189
21,fragweave,320
22,original,144
22,baseline,162
22,fragweave,310
23,original,242
23,baseline,268
23,fragweave,401
24,original,275
24,baseline,292
24,fragweave,368
25,original,223
25,baseline,236
25,fragweave,227
26,original,271
26,baseline,282
26,fragweave,400
27,original,123
27,baseline,138
27,fragweave,255
