variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,50,0.34,0.14,0.5011750406875478,0.8820969712898336,0.18,0.0
k3_refs0_guideB,50,0.2,0.24,0.5126631668586039,0.8735357057645845,0.1,0.02
k3_refs1_guideA,50,0.24,0.2,0.5483713321394142,0.8852495334353577,0.12,0.0
k3_refs1_guideB,50,0.1,0.16,0.5553921777945316,0.8852141722749731,0.02,0.0
k4_refs0_guideA,50,0.42,0.3,0.4690989516627666,0.8877276959510482,0.18,0.0
k4_refs0_guideB,50,0.14,0.24,0.5706744383194977,0.8842675629462612,0.08,0.0
k4_refs1_guideA,50,0.34,0.18,0.5241832026826603,0.879919656540466,0.14,0.0
k4_refs1_guideB,50,0.12,0.2,0.5425135395580302,0.8789514076517716,0.02,0.0
k5_refs0_guideA,50,0.28,0.22,0.5335993465316572,0.8866514829978278,0.22,0.0
k5_refs0_guideB,50,0.08,0.14,0.5299309323749946,0.8816994000418644,0.06,0.0
k5_refs1_guideA,50,0.38,0.32,0.5939591523398196,0.8825089693227745,0.28,0.0
k5_refs1_guideB,50,0.2,0.26,0.5861789373863251,0.8782337292742972,0.1,0.0
k6_refs0_guideA,50,0.32,0.24,0.5337048133741534,0.8836934844810694,0.22,0.0
k6_refs0_guideB,50,0.14,0.22,0.5427628190441968,0.8726209515858879,0.06,0.0
k6_refs1_guideA,50,0.28,0.22,0.5619470612187273,0.8852605472104718,0.18,0.0
k6_refs1_guideB,50,0.14,0.2,0.5542839772565197,0.8774504028972856,0.02,0.0
